team_season,severity,rule,detail
2011_ATL,WARN,inflated_qb,Matt Ryan QB 92 is 90+ with status=generated_high_confidence (no manual override)
2011_DAL,WARN,inflated_qb,Tony Romo QB 95 is 90+ with status=generated_high_confidence (no manual override)
2011_DET,WARN,inflated_qb,Matthew Stafford QB 98 is 90+ with status=generated_high_confidence (no manual override)
2011_GB,WARN,inflated_qb,Aaron Rodgers QB 99 is 90+ with status=generated_high_confidence (no manual override)
2011_LAC,WARN,inflated_qb,Philip Rivers QB 90 is 90+ with status=generated_high_confidence (no manual override)
2011_NE,WARN,inflated_qb,Tom Brady QB 99 is 90+ with status=generated_high_confidence (no manual override)
2011_NO,WARN,inflated_qb,Drew Brees QB 99 is 90+ with status=generated_high_confidence (no manual override)
2011_NYG,WARN,inflated_qb,Eli Manning QB 94 is 90+ with status=generated_high_confidence (no manual override)
2012_ATL,WARN,inflated_qb,Matt Ryan QB 96 is 90+ with status=generated_high_confidence (no manual override)
2012_DAL,WARN,inflated_qb,Tony Romo QB 92 is 90+ with status=generated_high_confidence (no manual override)
2012_DEN,WARN,inflated_qb,Peyton Manning QB 99 is 90+ with status=generated_high_confidence (no manual override)
2012_GB,WARN,inflated_qb,Aaron Rodgers QB 99 is 90+ with status=generated_high_confidence (no manual override)
2012_NE,WARN,inflated_qb,Tom Brady QB 97 is 90+ with status=generated_high_confidence (no manual override)
2012_NO,WARN,inflated_qb,Drew Brees QB 97 is 90+ with status=generated_high_confidence (no manual override)
2012_SEA,WARN,inflated_qb,Russell Wilson QB 91 is 90+ with status=generated_high_confidence (no manual override)
2012_WAS,WARN,inflated_qb,Robert Griffin QB 91 is 90+ with status=generated_high_confidence (no manual override)
2013_ATL,WARN,inflated_qb,Matt Ryan QB 91 is 90+ with status=generated_high_confidence (no manual override)
2013_CIN,WARN,inflated_qb,Andy Dalton QB 91 is 90+ with status=generated_high_confidence (no manual override)
2013_DAL,WARN,inflated_qb,Tony Romo QB 93 is 90+ with status=generated_high_confidence (no manual override)
2013_DEN,WARN,inflated_qb,Peyton Manning QB 99 is 90+ with status=generated_high_confidence (no manual override)
2013_LAC,WARN,inflated_qb,Philip Rivers QB 97 is 90+ with status=generated_high_confidence (no manual override)
2013_NO,WARN,inflated_qb,Drew Brees QB 99 is 90+ with status=generated_high_confidence (no manual override)
2013_PHI,WARN,inflated_qb,Nick Foles QB 95 is 90+ with status=generated_high_confidence (no manual override)
2013_PIT,WARN,inflated_qb,Ben Roethlisberger QB 92 is 90+ with status=generated_high_confidence (no manual override)
2013_SEA,WARN,inflated_qb,Russell Wilson QB 90 is 90+ with status=generated_medium_confidence (no manual override)
2014_ATL,WARN,inflated_qb,Matt Ryan QB 93 is 90+ with status=generated_high_confidence (no manual override)
2014_DAL,WARN,inflated_qb,Tony Romo QB 97 is 90+ with status=generated_high_confidence (no manual override)
2014_DEN,WARN,inflated_qb,Peyton Manning QB 98 is 90+ with status=generated_high_confidence (no manual override)
2014_GB,WARN,inflated_qb,Aaron Rodgers QB 99 is 90+ with status=generated_high_confidence (no manual override)
2014_IND,WARN,inflated_qb,Andrew Luck QB 98 is 90+ with status=generated_high_confidence (no manual override)
2014_LAC,WARN,inflated_qb,Philip Rivers QB 91 is 90+ with status=generated_high_confidence (no manual override)
2014_MIA,WARN,inflated_qb,Ryan Tannehill QB 91 is 90+ with status=generated_high_confidence (no manual override)
2014_NE,WARN,inflated_qb,Tom Brady QB 94 is 90+ with status=generated_high_confidence (no manual override)
2014_NO,WARN,inflated_qb,Drew Brees QB 95 is 90+ with status=generated_high_confidence (no manual override)
2014_NYG,WARN,inflated_qb,Eli Manning QB 92 is 90+ with status=generated_high_confidence (no manual override)
2014_PIT,WARN,inflated_qb,Ben Roethlisberger QB 97 is 90+ with status=generated_high_confidence (no manual override)
2015_ARI,WARN,inflated_qb,Carson Palmer QB 98 is 90+ with status=generated_high_confidence (no manual override)
2015_CAR,WARN,inflated_qb,Cam Newton QB 96 is 90+ with status=generated_high_confidence (no manual override)
2015_CIN,WARN,inflated_qb,Andy Dalton QB 90 is 90+ with status=generated_high_confidence (no manual override)
2015_DET,WARN,inflated_qb,Matthew Stafford QB 94 is 90+ with status=generated_high_confidence (no manual override)
2015_GB,WARN,inflated_qb,Aaron Rodgers QB 91 is 90+ with status=generated_high_confidence (no manual override)
2015_JAX,WARN,inflated_qb,Blake Bortles QB 92 is 90+ with status=generated_high_confidence (no manual override)
2015_LAC,WARN,inflated_qb,Philip Rivers QB 93 is 90+ with status=generated_high_confidence (no manual override)
2015_LV,WARN,inflated_qb,Derek Carr QB 90 is 90+ with status=generated_high_confidence (no manual override)
2015_NE,WARN,inflated_qb,Tom Brady QB 98 is 90+ with status=generated_high_confidence (no manual override)
2015_NO,WARN,inflated_qb,Drew Brees QB 96 is 90+ with status=generated_high_confidence (no manual override)
2015_NYG,WARN,inflated_qb,Eli Manning QB 94 is 90+ with status=generated_high_confidence (no manual override)
2015_SEA,WARN,inflated_qb,Russell Wilson QB 99 is 90+ with status=generated_high_confidence (no manual override)
2015_WAS,WARN,inflated_qb,Kirk Cousins QB 94 is 90+ with status=generated_high_confidence (no manual override)
2016_ATL,WARN,inflated_qb,Matt Ryan QB 99 is 90+ with status=generated_high_confidence (no manual override)
2016_DAL,WARN,inflated_qb,Dak Prescott QB 93 is 90+ with status=generated_high_confidence (no manual override)
2016_DET,WARN,inflated_qb,Matthew Stafford QB 92 is 90+ with status=generated_high_confidence (no manual override)
2016_GB,WARN,inflated_qb,Aaron Rodgers QB 99 is 90+ with status=generated_high_confidence (no manual override)
2016_IND,WARN,inflated_qb,Andrew Luck QB 94 is 90+ with status=generated_high_confidence (no manual override)
2016_LV,WARN,inflated_qb,Derek Carr QB 92 is 90+ with status=generated_high_confidence (no manual override)
2016_NE,WARN,inflated_qb,Tom Brady QB 94 is 90+ with status=generated_high_confidence (no manual override)
2016_NO,WARN,inflated_qb,Drew Brees QB 98 is 90+ with status=generated_high_confidence (no manual override)
2016_PIT,WARN,inflated_qb,Ben Roethlisberger QB 91 is 90+ with status=generated_high_confidence (no manual override)
2016_SEA,WARN,inflated_qb,Russell Wilson QB 90 is 90+ with status=generated_high_confidence (no manual override)
2016_TEN,WARN,inflated_qb,Marcus Mariota QB 90 is 90+ with status=generated_high_confidence (no manual override)
2016_WAS,WARN,inflated_qb,Kirk Cousins QB 95 is 90+ with status=generated_high_confidence (no manual override)
2017_DET,WARN,inflated_qb,Matthew Stafford QB 95 is 90+ with status=generated_high_confidence (no manual override)
2017_KC,WARN,inflated_qb,Alex Smith QB 95 is 90+ with status=generated_high_confidence (no manual override)
2017_LAC,WARN,inflated_qb,Philip Rivers QB 93 is 90+ with status=generated_high_confidence (no manual override)
2017_NE,WARN,inflated_qb,Tom Brady QB 97 is 90+ with status=generated_high_confidence (no manual override)
2017_NO,WARN,inflated_qb,Drew Brees QB 94 is 90+ with status=generated_high_confidence (no manual override)
2017_PHI,WARN,inflated_qb,Carson Wentz QB 93 is 90+ with status=generated_high_confidence (no manual override)
2017_PIT,WARN,inflated_qb,Ben Roethlisberger QB 91 is 90+ with status=generated_high_confidence (no manual override)
2017_SEA,WARN,inflated_qb,Russell Wilson QB 96 is 90+ with status=generated_high_confidence (no manual override)
2017_STL,WARN,inflated_qb,Jared Goff QB 92 is 90+ with status=generated_high_confidence (no manual override)
2017_WAS,WARN,inflated_qb,Kirk Cousins QB 91 is 90+ with status=generated_high_confidence (no manual override)
2018_ATL,WARN,inflated_qb,Matt Ryan QB 99 is 90+ with status=generated_high_confidence (no manual override)
2018_GB,WARN,inflated_qb,Aaron Rodgers QB 91 is 90+ with status=generated_high_confidence (no manual override)
2018_HOU,WARN,inflated_qb,Deshaun Watson QB 94 is 90+ with status=generated_high_confidence (no manual override)
2018_IND,WARN,inflated_qb,Andrew Luck QB 97 is 90+ with status=generated_high_confidence (no manual override)
2018_LAC,WARN,inflated_qb,Philip Rivers QB 95 is 90+ with status=generated_high_confidence (no manual override)
2018_MIN,WARN,inflated_qb,Kirk Cousins QB 93 is 90+ with status=generated_high_confidence (no manual override)
2018_NE,WARN,inflated_qb,Tom Brady QB 92 is 90+ with status=generated_high_confidence (no manual override)
2018_NO,WARN,inflated_qb,Drew Brees QB 98 is 90+ with status=generated_high_confidence (no manual override)
2018_PIT,WARN,inflated_qb,Ben Roethlisberger QB 96 is 90+ with status=generated_high_confidence (no manual override)
2018_SEA,WARN,inflated_qb,Russell Wilson QB 97 is 90+ with status=generated_high_confidence (no manual override)
2018_STL,WARN,inflated_qb,Jared Goff QB 96 is 90+ with status=generated_high_confidence (no manual override)
2019_ATL,WARN,inflated_qb,Matt Ryan QB 91 is 90+ with status=generated_high_confidence (no manual override)
2019_BAL,WARN,inflated_qb,Lamar Jackson QB 99 is 90+ with status=generated_high_confidence (no manual override)
2019_DAL,WARN,inflated_qb,Dak Prescott QB 97 is 90+ with status=generated_high_confidence (no manual override)
2019_GB,WARN,inflated_qb,Aaron Rodgers QB 91 is 90+ with status=generated_high_confidence (no manual override)
2019_HOU,WARN,inflated_qb,Deshaun Watson QB 92 is 90+ with status=generated_high_confidence (no manual override)
2019_KC,WARN,inflated_qb,Patrick Mahomes QB 95 is 90+ with status=generated_high_confidence (no manual override)
2019_LV,WARN,inflated_qb,Derek Carr QB 91 is 90+ with status=generated_high_confidence (no manual override)
2019_MIN,WARN,inflated_qb,Kirk Cousins QB 93 is 90+ with status=generated_high_confidence (no manual override)
2019_PHI,WARN,inflated_qb,Carson Wentz QB 90 is 90+ with status=generated_high_confidence (no manual override)
2019_SEA,WARN,inflated_qb,Russell Wilson QB 97 is 90+ with status=generated_high_confidence (no manual override)
2019_SF,WARN,inflated_qb,Jimmy Garoppolo QB 94 is 90+ with status=generated_high_confidence (no manual override)
2019_TEN,WARN,inflated_qb,Ryan Tannehill QB 92 is 90+ with status=generated_high_confidence (no manual override)
2020_ARI,WARN,inflated_qb,Kyler Murray QB 92 is 90+ with status=generated_high_confidence (no manual override)
2020_ATL,WARN,inflated_qb,Matt Ryan QB 91 is 90+ with status=generated_high_confidence (no manual override)
2020_BUF,WARN,inflated_qb,Josh Allen QB 99 is 90+ with status=generated_high_confidence (no manual override)
2020_DET,WARN,inflated_qb,Matthew Stafford QB 91 is 90+ with status=generated_high_confidence (no manual override)
2020_GB,WARN,inflated_qb,Aaron Rodgers QB 99 is 90+ with status=generated_high_confidence (no manual override)
2020_HOU,WARN,inflated_qb,Deshaun Watson QB 99 is 90+ with status=generated_high_confidence (no manual override)
2020_IND,WARN,inflated_qb,Philip Rivers QB 90 is 90+ with status=generated_high_confidence (no manual override)
2020_KC,WARN,inflated_qb,Patrick Mahomes QB 99 is 90+ with status=generated_high_confidence (no manual override)
2020_LAC,WARN,inflated_qb,Justin Herbert QB 94 is 90+ with status=generated_high_confidence (no manual override)
2020_LV,WARN,inflated_qb,Derek Carr QB 93 is 90+ with status=generated_high_confidence (no manual override)
2020_MIN,WARN,inflated_qb,Kirk Cousins QB 97 is 90+ with status=generated_high_confidence (no manual override)
2020_PIT,WARN,inflated_qb,Ben Roethlisberger QB 90 is 90+ with status=generated_high_confidence (no manual override)
2020_SEA,WARN,inflated_qb,Russell Wilson QB 98 is 90+ with status=generated_high_confidence (no manual override)
2020_TEN,WARN,inflated_qb,Ryan Tannehill QB 96 is 90+ with status=generated_high_confidence (no manual override)
2021_ARI,WARN,inflated_qb,Kyler Murray QB 91 is 90+ with status=generated_high_confidence (no manual override)
2021_BUF,WARN,inflated_qb,Josh Allen QB 95 is 90+ with status=generated_high_confidence (no manual override)
2021_CIN,WARN,inflated_qb,Joe Burrow QB 98 is 90+ with status=generated_high_confidence (no manual override)
2021_DAL,WARN,inflated_qb,Dak Prescott QB 97 is 90+ with status=generated_high_confidence (no manual override)
2021_GB,WARN,inflated_qb,Aaron Rodgers QB 99 is 90+ with status=generated_high_confidence (no manual override)
2021_IND,WARN,inflated_qb,Carson Wentz QB 90 is 90+ with status=generated_high_confidence (no manual override)
2021_KC,WARN,inflated_qb,Patrick Mahomes QB 97 is 90+ with status=generated_high_confidence (no manual override)
2021_LAC,WARN,inflated_qb,Justin Herbert QB 98 is 90+ with status=generated_high_confidence (no manual override)
2021_LV,WARN,inflated_qb,Derek Carr QB 92 is 90+ with status=generated_high_confidence (no manual override)
2021_MIN,WARN,inflated_qb,Kirk Cousins QB 95 is 90+ with status=generated_high_confidence (no manual override)
2021_STL,WARN,inflated_qb,Matthew Stafford QB 99 is 90+ with status=generated_high_confidence (no manual override)
2021_TB,WARN,inflated_qb,Tom Brady QB 99 is 90+ with status=generated_high_confidence (no manual override)
2022_BUF,WARN,inflated_qb,Josh Allen QB 97 is 90+ with status=generated_high_confidence (no manual override)
2022_CIN,WARN,inflated_qb,Joe Burrow QB 97 is 90+ with status=generated_high_confidence (no manual override)
2022_DET,WARN,inflated_qb,Jared Goff QB 95 is 90+ with status=generated_high_confidence (no manual override)
2022_JAX,WARN,inflated_qb,Trevor Lawrence QB 91 is 90+ with status=generated_high_confidence (no manual override)
2022_KC,WARN,inflated_qb,Patrick Mahomes QB 99 is 90+ with status=generated_high_confidence (no manual override)
2022_LAC,WARN,inflated_qb,Justin Herbert QB 93 is 90+ with status=generated_high_confidence (no manual override)
2022_MIA,WARN,inflated_qb,Tua Tagovailoa QB 91 is 90+ with status=generated_high_confidence (no manual override)
2022_MIN,WARN,inflated_qb,Kirk Cousins QB 93 is 90+ with status=generated_high_confidence (no manual override)
2022_PHI,WARN,inflated_qb,Jalen Hurts QB 92 is 90+ with status=generated_high_confidence (no manual override)
2022_SEA,WARN,inflated_qb,Geno Smith QB 96 is 90+ with status=generated_high_confidence (no manual override)
2022_TB,WARN,inflated_qb,Tom Brady QB 91 is 90+ with status=generated_high_confidence (no manual override)
2023_BAL,WARN,inflated_qb,Lamar Jackson QB 94 is 90+ with status=generated_high_confidence (no manual override)
