player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0005106,,Brett Favre,QB,QB,,MIN,2010,12,REG,WAS,15,23,172,0,0,2,10,0,0,211,114,8,2.58650939591823,0,0.815165876777251,0.111421955458979,5,9,0,0,0,1,-2.20439809164964,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,7.78,7.78
00-0005106,,Brett Favre,QB,QB,,MIN,2010,13,REG,BUF,0,1,0,0,1,0,0,0,0,5,0,0,-4.02424646774307,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-2,-2
00-0005106,,Brett Favre,QB,QB,,MIN,2010,15,REG,CHI,5,7,63,1,1,1,12,0,0,23,32,3,-2.45985637861304,0,2.73913043478261,0.0261064881874191,1,0,0,1,0,0,-3.02394518395886,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,4.52,4.52
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,1,REG,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,17,0,0,-0.408476273296401,0,0,0.0232558139534884,0.046070460704607,0.0671330434234575,0,0,0
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,2,REG,ARI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,3,31,1,0,0,22,9,2,4.30253636126872,0,1.40909090909091,0.09375,0.0995475113122172,0.210308257918552,0,9.1,12.1
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,4,REG,SF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,6,36,0,0,0,64,8,1,2.12149315769784,0,0.5625,0.13953488372093,0.183381088825215,0.337669087759046,0,3.6,7.6
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,5,REG,CLE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,19,0,0,-2.38788593220509,0,0,0.0714285714285714,0.108571428571429,0.183142857142857,0,0,0
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,7,REG,CIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,8,1,0,0,7,1,1,1.68382376065711,0,1.14285714285714,0.0606060606060606,0.0221518987341772,0.106415420023015,0,6.8,8.8
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,9,REG,TB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,5,24,0,0,0,48,7,2,2.98642853880301,0,0.5,0.138888888888889,0.158940397350993,0.319591611479029,0,2.4,5.4
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,10,REG,BAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,16,0,0,0,25,1,2,1.7179288257771,0,0.64,0.0612244897959184,0.0700280112044818,0.140856342537015,0,1.6,3.6
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,11,REG,LA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,3,12,1,0,0,18,0,1,0.765899676301449,0,0.666666666666667,0.0769230769230769,0.0553846153846154,0.154153846153846,0,7.2,8.2
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,13,REG,TB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,19,0,0,-0.885950163647067,0,0,0.0555555555555556,0.050531914893617,0.118705673758865,0,0,0
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,14,REG,CAR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,13,0,0,0,9,4,1,1.13008918613195,0,1.44444444444444,0.0588235294117647,0.026865671641791,0.107041264266901,0,1.3,3.3
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,16,REG,NO,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,16,0,0,-1.73549659689888,0,0,0.0344827586206897,0.0592592592592593,0.093205619412516,0,0,0
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,17,REG,CAR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,26,0,0,0,11,15,1,1.46787457587197,0,2.36363636363636,0.0526315789473684,0.047008547008547,0.111853351327036,0,2.6,4.6
00-0005231,,Brian Finneran,WR,WR,,ATL,2010,19,POST,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,6,47,0,0,0,66,19,2,2.4954096141737,0,0.712121212121212,0.206896551724138,0.243542435424354,0.480824532383255,0,4.7,8.7
00-0005720,,Joey Galloway,WR,WR,,WAS,2010,1,REG,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,15,0,0,-0.377542424132116,0,0,0.032258064516129,0.0590551181102362,0.0897256794513589,0,0,0
00-0005720,,Joey Galloway,WR,WR,,WAS,2010,2,REG,HOU,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,7,88,0,0,0,153,14,2,1.26377891178709,0,0.57516339869281,0.184210526315789,0.399477806788512,0.555950254225642,0,8.8,11.8
00-0005720,,Joey Galloway,WR,WR,,WAS,2010,3,REG,LA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,76,0,0,-1.0573203691747,0,0,0.0645161290322581,0.243589743589744,0.267287014061208,0,0,0
00-0005720,,Joey Galloway,WR,WR,,WAS,2010,4,REG,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,3,5,0,0,0,49,0,1,-5.02572395117022,0,0.102040816326531,0.166666666666667,0.210300429184549,0.397210300429185,0,0.5,1.5
00-0005720,,Joey Galloway,WR,WR,,WAS,2010,5,REG,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,7,28,0,0,0,110,0,2,-1.23473761093642,0,0.254545454545455,0.142857142857143,0.197841726618705,0.352774922918808,0,2.8,5.8
00-0005720,,Joey Galloway,WR,WR,,WAS,2010,6,REG,IND,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,4,18,0,0,0,72,4,1,0.284310731534221,0,0.25,0.0888888888888889,0.190981432360743,0.267020335985853,0,1.8,2.8
00-0005720,,Joey Galloway,WR,WR,,WAS,2010,7,REG,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,48,0,0,-2.47830645740032,0,0,0.0645161290322581,0.173285198555957,0.218073832537557,0,0,0
00-0005720,,Joey Galloway,WR,WR,,WAS,2010,8,REG,DET,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,4,2,0,0,0,30,0,1,-2.42083188551545,0,0.0666666666666667,0.108108108108108,0.0977198697068404,0.23056607095695,0,0.2,1.2
00-0005720,,Joey Galloway,WR,WR,,WAS,2010,10,REG,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,35,0,0,-3.67671725153923,0,0,0.0645161290322581,0.135135135135135,0.191368788142982,0,0,0
00-0005720,,Joey Galloway,WR,WR,,WAS,2010,11,REG,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,6,32,0,0,0,58,0,2,-0.296084740921572,0,0.551724137931035,0.125,0.137440758293839,0.283708530805687,0,3.2,6.2
